region,country,place,latitude,longitude,altitude,koppen
Region-1,Niger,Niamey_Aero,13.483333333333333,2.1666666666666665,222,BSh
Region-1,Niger,Tahoua_Aero,14.9,5.25,390,BWh
Region-1,Niger,Tillabery,14.2,1.45,209,BSh
Region-1,Niger,Zinder_Aero,13.766666666666667,8.983333333333333,439,BSh
Region-1,Nigeria,Ilorin,8.546666666666667,4.6466666666666665,343,Aw
Region-1,Nigeria,Jalingo,8.8,11.4,273,Aw
Region-1,RepublicOfCongo,BRAZZAVILLE,-4.25,15.25,"315
",Aw
Region-1,RepublicOfCongo,DJAMBALA,-2.5966666666666667,14.846666666666666,"789
",Aw
Region-1,RepublicOfCongo,DOLISIE,-4.036666666666666,12.7,"331
",Aw
Region-1,RepublicOfCongo,IMPFONDO,1.6966666666666668,18.11,"326
",Am
Region-1,RepublicOfCongo,MAKOUA,0.0966666666666666,15.665,"380
",Am
Region-1,RepublicOfCongo,MOUYONDZI,-4.065,13.996666666666666,"552
",Aw
Region-1,RepublicOfCongo,MPOUYA,-2.6966666666666668,16.296666666666667,"312
",Aw
Region-1,RepublicOfCongo,OUESSO,1.6966666666666668,16.03,"351
",Am
Region-1,RepublicOfCongo,POINTENOIRE,-4.8966666666666665,11.75,"16
",Aw
Region-1,RepublicOfCongo,SIBITI,-3.765,13.35,"530
",Aw
Region-1,Seychelles,SeychellesIntlAirport,-4.69,55.585,3,Af
Region-1,SouthAfrica,Bethlehem,-28.331666666666667,28.33833333333333,1689,Cwb
Region-1,SouthAfrica,BloemfonteinWO,-29.123333333333335,26.37166666666667,1354,BSk
Region-1,SouthAfrica,CalviniaWO,-31.55833333333333,19.82,975,BWk
Region-1,SouthAfrica,CapeTown,-34.028333333333336,18.613333333333333,42,Csb
Region-1,SouthAfrica,EastLondonWO,-33.04833333333333,27.89666666666667,134,Cfa
Region-1,SouthAfrica,GeorgeWO,-34.025,22.388333333333332,197,Cfb
Region-1,SouthAfrica,GoughIsland,-40.43,-9.948333333333334,54,Cfb
Region-1,SouthAfrica,KimberlyWO,-28.836666666666662,24.785,1196,BSh
Region-1,SouthAfrica,MafikengWO,-25.82166666666667,25.590000000000003,1281,BSh
Region-1,SouthAfrica,MarionIsland,-46.92666666666667,37.90166666666667,24,ET
Region-1,SouthAfrica,PolokwaneWO,-23.895000000000003,29.46,1226,BSh
Region-1,SouthAfrica,PortElizabethWO,-34.001666666666665,25.698333333333338,60,Cfb
Region-1,SouthAfrica,SpringbokWO,-29.683333333333337,17.94,1006,BSh
Region-1,SouthAfrica,UpingtonWO,-28.466666666666665,21.335,835,BWh
Region-1,Sudan,AbuHamad,19.533333333333335,33.333333333333336,  315,BWh
Region-1,Sudan,AbuNaama,12.733333333333333,34.13333333333333,  445,BSh
Region-1,Sudan,Atbara,11.333333333333334,27.666666666666668,  543,BWh
Region-1,Sudan,Babnousa,11.333333333333334,27.666666666666668,  543,BSh
Region-1,Sudan,Dongola,19.166666666666668,30.483333333333334,  228,BWh
Region-1,Sudan,EdDamazine,11.816666666666666,34.4,  470,BSh
Region-1,Sudan,EdDueim,13.983333333333333,32.333333333333336,  380,BWh
Region-1,Sudan,ElFasher,13.633333333333333,25.333333333333332,  730,BWh
Region-1,Sudan,ElGedaref,14.033333333333331,35.4,  600,BSh
Region-1,Sudan,ElNahoud,12.7,28.433333333333337,  565,BWh
Region-1,Sudan,ElObeid,13.166666666666666,30.233333333333334,  570,BWh
Region-1,Sudan,Geneina,13.483333333333333,22.45,  805,BSh
Region-1,Sudan,HELGadeeda,15.316666666666666,35.6,  450,BWh
Region-1,Sudan,Hudieba,17.566666666666666,33.93333333333333,  350,BWh
Region-1,Sudan,Kadugli,11.0,29.716666666666665,  500,BSh
Region-1,Sudan,Karima,18.55,31.85,  250,BWh
Region-1,Sudan,Kassala,15.466666666666669,36.4,  500,BWh
Region-1,Sudan,Khartoum,32.55,,,BWh
Region-1,Sudan,Kosti,13.166666666666666,30.233333333333334,  380,BWh
Region-1,Sudan,Nyala,12.066666666666666,24.883333333333333,  655,BSh
Region-1,Sudan,Port-Sudan,19.583333333333332,37.21666666666667,    5,BWh
Region-1,Sudan,Rashad,11.866666666666667,31.05,  885,BSh
Region-1,Sudan,Sennar,13.55,33.61666666666667,  420,BSh
Region-1,Sudan,Shambat,15.666666666666666,32.53333333333333,  380,BWh
Region-1,Sudan,Shendi,16.7,33.43333333333333,  360,BWh
Region-1,Sudan,UmBanein,13.066666666666666,33.95,  435,BSh
Region-1,Sudan,WadMadeni,14.2,33.483333333333334,  405,BWh
Region-1,Sudan,WadiHalfa,21.816666666666663,31.35,  190,BWh
Region-1,Togo,ATAKPAME,7.563333333333333,1.145,400,Aw
Region-1,Togo,DAPAONG,10.85,0.285,230,Aw
Region-1,Togo,KARA,9.683333333333334,1.221666666666667,342,Aw
Region-1,Togo,KOUMAKONDA,6.986666666666667,0.5983333333333333,641,Aw
Region-1,Togo,LOME,6.213333333333334,1.268333333333333,19.6,BSh
Region-1,Togo,MANGO,10.421666666666669,0.4816666666666667,146,Aw
Region-1,Togo,NIAMTOUGOU,9.8,1.0833333333333333,462,Aw
Region-1,Togo,SOKODE,9.055,1.16,387,Aw
Region-1,Togo,TABLIGBO,6.628333333333333,1.5466666666666666,40,Aw
Region-1,Tunisia,Beja,36.733333333333334,9.183333333333334,158,Csa
Region-1,Tunisia,Bizerte,37.25,9.8,5,Csa
Region-1,Tunisia,ElBorma,31.683333333333337,9.3,258,BWh
Region-1,Tunisia,Gabes,33.88333333333333,10.1,4,BWh
Region-1,Tunisia,Gafsa,34.416666666666664,8.816666666666666,313,BWh
Region-1,Tunisia,Jendouba,36.483333333333334,8.8,143,BSh
Region-1,Tunisia,Jerba,33.86666666666667,10.766666666666667,3,BWh
Region-1,Tunisia,Kairouan,35.666666666666664,10.1,67,BSh
Region-1,Tunisia,Kasserine,35.166666666666664,8.783333333333333,706,BSk
Region-1,Tunisia,Kebili,33.7,8.966666666666667,44,BWh
Region-1,Tunisia,Kelibia,36.85,11.083333333333334,29,Csa
Region-1,Tunisia,LeKef,36.13333333333333,8.7,517,BSk
Region-1,Tunisia,Mahdia,35.5,10.066666666666666,11,BSh
Region-1,Tunisia,Matmata,33.53333333333333,9.966666666666669,141,BWh
Region-1,Tunisia,Mednine,33.35,10.5,116,BWh
Region-1,Tunisia,Monastir,35.666666666666664,10.75,2,BSh
Region-1,Tunisia,Nabeul,36.45,10.733333333333333,4,Csa
Region-1,Tunisia,Remada,32.31666666666667,10.4,300,BWh
Region-1,Tunisia,Sfax,34.71666666666667,10.683333333333334,26,BWh
Region-1,Tunisia,SidiBouZid,35.0,9.483333333333333,354,BWh
Region-1,Tunisia,Siliana,36.06666666666667,9.366666666666667,444,BSk
Region-1,Tunisia,Tabarka,36.95,8.75,66,Csa
Region-1,Tunisia,Tataouine,33.583333333333336,10.766666666666667,242,BWh
Region-1,Tunisia,Thala,35.55,8.683333333333334,1091,BSk
Region-1,Tunisia,Tozeur,33.916666666666664,8.1,92,BWh
Region-1,Tunisia,TunisCarthage,36.833333333333336,10.233333333333333,3,BSh
Region-1,Tunisia,ZaghouanMogran,36.36666666666667,10.116666666666667,156,BSh
Region-1,Zambia,Chipepo,-16.845,27.928333333333335,490,Aw
Region-1,Zambia,Choma,-16.25,27.066666666666663,1267,Cwa
Region-1,Zambia,Isoka,-10.166666666666666,32.63333333333333,1360,Csa
Region-1,Zambia,Kabwe01,-14.416666666666666,28.483333333333334,1165,Csa
Region-1,Zambia,Kafironda,-12.6,28.116666666666667,1243,Cwa
Region-1,Zambia,Kalabo,-14.95,22.7,1053,Aw
Region-1,Zambia,Kaoma,-14.8,24.8,1152,Cwa
Region-1,Zambia,Kasama,-10.216666666666669,31.133333333333333,1384,Cwa
Region-1,Zambia,Kawambwa,-9.8,29.083333333333332,1324,Aw
Region-1,Zambia,Livingstone,-17.816666666666666,25.816666666666663,986,BSh
Region-1,Zambia,Lundazi,-12.283333333333331,33.2,1143,Csa
Region-1,Zambia,LusakaCity,-15.416666666666666,28.316666666666663,1252,Cwa
Region-1,Zambia,LusakaInternational,-15.316666666666666,28.45,1154,Cwa
Region-1,Zambia,Mansa,-11.1,28.85,1122,Cwa
Region-1,Zambia,Mbala,-8.85,31.333333333333332,1673,Aw
Region-1,Zambia,Mfuwe,-13.266666666666667,31.266666666666666,570,Aw
Region-1,Zambia,Misamfu,-10.183333333333334,31.216666666666665,1535,Cwa
Region-1,Zambia,Mongu,-15.25,23.15,1053,Aw
Region-1,Zambia,Mpika,-11.75,31.433333333333337,1402,Csb
Region-1,Zambia,Msekera,-13.65,32.56666666666667,1025,Aw
Region-1,Zambia,MtMakulu,-15.55,28.25,1213,Cwa
Region-1,Zambia,Mumbwa,-14.983333333333333,27.066666666666663,1218,Cwa
Region-1,Zambia,Mwinilunga,-11.75,24.433333333333337,1363,Cwa
Region-1,Zambia,Ndola,-13.0,28.65,1270,Cwa
Region-1,Zambia,Senanga,-16.116666666666667,23.266666666666666,1027,Cwa
Region-1,Zambia,Serenje,-17.466666666666665,24.3,951,Cwa
Region-1,Zambia,Sesheke,-17.466666666666665,24.3,951,Cwb
Region-1,Zambia,Solwezi,-12.183333333333334,26.383333333333333,1333,Cwa
Region-1,Zambia,Zambezi,-13.533333333333331,23.116666666666667,1078,Cwa
Region-2,Bahrain,BahrainInternationalAirport,26.266666666666666,50.65,2,BWh
Region-2,Bangladesh,Ambagan_CTG,22.35,91.81666666666666,,Am
Region-2,Bangladesh,Barishal,22.75,90.33333333333331,2.10,Cwa
Region-2,Bangladesh,Bhola,22.683333333333337,90.65,4.30,Cwa
Region-2,Bangladesh,Bogra,24.85,89.36666666666666,17.90,Cwa
Region-2,Bangladesh,Chandpur,23.266666666666666,90.7,4.88,Aw
Region-2,Bangladesh,Chittagong,22.266666666666666,91.81666666666666,5.50,Am
Region-2,Bangladesh,Chuadanga,23.65,88.86666666666666,11.58,Cwa
Region-2,Bangladesh,Comilla,23.433333333333337,91.18333333333334,7.50,Aw
Region-2,Bangladesh,Coxs_Bazar,21.433333333333337,91.93333333333334,2.10,Am
Region-2,Bangladesh,Dhaka,23.766666666666666,90.38333333333334,8.45,Aw
Region-2,Bangladesh,Dinajpur,25.65,88.68333333333334,37.58,Cwa
Region-2,Bangladesh,Faridpur,23.6,89.85,8.10,Cwa
Region-2,Bangladesh,Feni,23.033333333333335,91.41666666666669,6.40,Am
Region-2,Bangladesh,Hatia,22.433333333333337,91.1,2.44,Am
Region-2,Bangladesh,Ishwardi,24.133333333333333,89.05,12.90,Cwa
Region-2,Bangladesh,Jessore,23.183333333333337,89.16666666666667,6.10,Cwa
Region-2,Bangladesh,Khepupara,21.983333333333334,90.23333333333332,1.83,Aw
Region-2,Bangladesh,Khulna,22.783333333333335,89.53333333333333,2.10,Aw
Region-2,Bangladesh,Kutubdia,21.816666666666663,91.85,2.74,Cwa
Region-2,Bangladesh,M_court,22.866666666666667,91.1,4.87,Am
Region-2,Bangladesh,Madaripur,23.166666666666668,90.18333333333334,7.00,Cwa
Region-2,Bangladesh,Mongla,22.333333333333332,89.6,1.80,Aw
Region-2,Bangladesh,Mymensingh,24.716666666666665,90.43333333333334,18.00,Cwa
Region-2,Bangladesh,Patuakhali,22.333333333333332,90.33333333333331,1.50,Am
Region-2,Bangladesh,Rajshahi,24.366666666666667,88.7,19.50,Cwa
Region-2,Bangladesh,Rangamati,22.533333333333335,92.2,68.89,Am
Region-2,Bangladesh,Rangpur,25.733333333333334,89.23333333333333,32.61,Cwa
Region-2,Bangladesh,Sandwip,22.483333333333334,91.43333333333334,2.10,Am
Region-2,Bangladesh,Satkhira,22.716666666666665,89.08333333333333,3.96,Cwa
Region-2,Bangladesh,Sitakunda,23.583333333333332,91.7,7.30,Am
Region-2,Bangladesh,Srimangal,24.3,91.73333333333332,21.95,Cwa
Region-2,Bangladesh,Syedpur,25.783333333333335,88.88333333333334,39.60,Cwa
Region-2,Bangladesh,Sylhet,24.9,91.88333333333334,33.53,Am
Region-2,Bangladesh,Tangail,24.25,89.91666666666667,10.20,Cwa
Region-2,Bangladesh,Teknaf,20.866666666666667,92.3,5.00,Am
Region-2,China,ABAG_QI,44.03666666666667,115.0,1147.7,BSk
Region-2,China,AKQI,40.99666666666666,78.53166666666667,1986.0,BSk
Region-2,China,ALAR,40.5,81.05,1013.0,BWk
Region-2,China,ALTAY,47.795,88.14666666666666,737.0,BSk
Region-2,China,ANKANG,32.73666666666667,109.095,291.0,Cwa
Region-2,China,ANQING,30.636666666666667,116.98666666666666,62.0,Cfa
Region-2,China,ARXAN,47.184999999999995,119.99666666666668,997.0,Dwc
Region-2,China,BACHU,39.88166666666667,78.585,1117.0,BWk
Region-2,China,BAISE,23.981666666666666,106.68166666666666,177.0,Cwa
