date,sahelrain
2016-04-01,38
2016-05-01,70
2016-06-01,86
2016-07-01,411
2016-08-01,178
2016-09-01,335
2016-10-01,-83
2016-11-01,1
2016-12-01,-3
2017-01-01,-4
2017-02-01,-7
2017-03-01,-2
2017-04-01,14
2017-05-01,207
2017-06-01,333
2017-07-01,203
2017-08-01,192
2017-09-01,-223
2017-10-01,-130
2017-11-01,-5
2017-12-01,11
