date,swmonsoon
2005-05-01,0.67
2005-06-01,0.43
2005-07-01,1.11
2005-08-01,2.58
2005-09-01,1.19
2005-10-01,1.06
2005-11-01,0.1
2005-12-01,0.1
2006-01-01,0.19
2006-02-01,0.07
2006-03-01,1.12
2006-04-01,0.31
2006-05-01,0.27
2006-06-01,0.66
2006-07-01,2.98
2006-08-01,3.12
2006-09-01,1.64
2006-10-01,1.36
2006-11-01,0.15
2006-12-01,0.91
2007-01-01,0.94
2007-02-01,0.66
2007-03-01,0.9
2007-04-01,0.58
2007-05-01,1.05
2007-06-01,0.68
2007-07-01,2.45
2007-08-01,1.9
2007-09-01,1.33
2007-10-01,0.27
2007-11-01,0.57
2007-12-01,2.26
2008-01-01,1.73
2008-02-01,1.15
2008-03-01,0.2
2008-04-01,0.17
2008-05-01,0.88
2008-06-01,0.37
2008-07-01,2.76
2008-08-01,2.57
2008-09-01,0.7
2008-10-01,0.79
2008-11-01,0.79
2008-12-01,1.87
2009-01-01,0.5
2009-02-01,0.71
2009-03-01,0.4
2009-04-01,0.61
2009-05-01,0.83
2009-06-01,1.01
2009-07-01,1.67
2009-08-01,0.91
2009-09-01,1.24
2009-10-01,0.78
2009-11-01,0.24
2009-12-01,1.1
2010-01-01,2.67
2010-02-01,1.39
2010-03-01,1.27
2010-04-01,0.56
2010-05-01,0.25
2010-06-01,0.34
2010-07-01,2.65
2010-08-01,2.04
2010-09-01,1.05
2010-10-01,1.19
2010-11-01,0.18
2010-12-01,1.5
