date,brazilrain
1991-01-01,65.0
1991-02-01,-29.0
1991-03-01,187.0
1991-04-01,-2.0
1991-05-01,-46.0
1991-06-01,-78.0
1991-07-01,-92.0
1991-08-01,699.0
1991-09-01,-72.0
1991-10-01,238.0
1991-11-01,191.0
1991-12-01,-91.0
1992-01-01,-46.0
1992-02-01,58.0
1992-03-01,-42.0
1992-04-01,-55.0
1992-05-01,-149.0
1992-06-01,-13.0
1992-07-01,-77.0
1992-08-01,-13.0
1992-09-01,-75.0
1992-10-01,-69.0
1992-11-01,-56.0
1992-12-01,-85.0
1993-01-01,-74.0
1993-02-01,-48.0
1993-03-01,-130.0
1993-04-01,-191.0
1993-05-01,-151.0
1993-06-01,-60.0
1993-07-01,21.0
1993-08-01,-27.0
1993-09-01,6.0
1993-10-01,-56.0
1993-11-01,-60.0
1993-12-01,-70.0
1994-01-01,31.0
1994-02-01,45.0
1994-03-01,95.0
1994-04-01,2.0
1994-05-01,
1994-06-01,302.0
1994-07-01,-23.0
1994-08-01,-72.0
1994-09-01,-53.0
1994-10-01,
1994-11-01,-37.0
1994-12-01,
1995-01-01,-64.0
1995-02-01,
1995-03-01,30.0
1995-04-01,194.0
1995-05-01,63.0
1995-06-01,
1995-07-01,11.0
1995-08-01,-79.0
1995-09-01,-101.0
1995-10-01,
1995-11-01,95.0
1995-12-01,-67.0
1996-01-01,84.0
1996-02-01,-90.0
1996-03-01,63.0
1996-04-01,106.0
1996-05-01,7.0
1996-06-01,-93.0
1996-07-01,-71.0
1996-08-01,140.0
1996-09-01,-66.0
1996-10-01,57.0
1996-11-01,5.0
1996-12-01,-57.0
1997-01-01,-72.0
1997-02-01,-57.0
1997-03-01,-18.0
1997-04-01,82.0
1997-05-01,-43.0
1997-06-01,-100.0
1997-07-01,-78.0
1997-08-01,96.0
1997-09-01,293.0
1997-10-01,-44.0
1997-11-01,32.0
1997-12-01,37.0
1998-01-01,60.0
1998-02-01,-76.0
1998-03-01,
1998-04-01,-189.0
1998-05-01,
1998-06-01,-85.0
1998-07-01,-77.0
1998-08-01,13.0
1998-09-01,-87.0
1998-10-01,-64.0
1998-11-01,-67.0
1998-12-01,
1999-01-01,41.0
1999-02-01,-4.0
1999-03-01,
1999-04-01,-6.0
1999-05-01,0.0
1999-06-01,-70.0
1999-07-01,-69.0
1999-08-01,-70.0
1999-09-01,78.0
1999-10-01,11.0
1999-11-01,9.0
1999-12-01,85.0
2000-01-01,92.0
2000-02-01,-28.0
2000-03-01,-12.0
2000-04-01,112.0
2000-05-01,-47.0
2000-06-01,3.0
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
