date,np
1981-12-01,1008.19
1982-01-01,1009.35
1982-02-01,1011.89
1982-03-01,1014.81
1982-04-01,1018.03
1982-05-01,1016.54
1982-06-01,1013.25
1982-07-01,1016.69
1982-08-01,1017.83
1982-09-01,1014.84
1982-10-01,1015.2
1982-11-01,1009.12
1982-12-01,1005.95
1983-01-01,1001.17
1983-02-01,997.66
1983-03-01,1003.4
1983-04-01,1016.23
1983-05-01,1015.52
1983-06-01,1013.57
1983-07-01,1017.07
1983-08-01,1017.83
1983-09-01,1016.75
1983-10-01,1014.12
1983-11-01,1005.02
1983-12-01,1007.09
1984-01-01,1006.78
1984-02-01,1007.5
1984-03-01,1005.01
1984-04-01,1015.6
1984-05-01,1015.5
1984-06-01,1014.88
1984-07-01,1018.53
1984-08-01,1015.7
1984-09-01,1012.16
1984-10-01,1011.95
1984-11-01,1008.04
1984-12-01,1010.8
1985-01-01,1000.04
1985-02-01,1014.16
1985-03-01,1016.99
1985-04-01,1017.62
1985-05-01,1015.62
1985-06-01,1015.55
1985-07-01,1017.43
1985-08-01,1018.13
1985-09-01,1015.87
1985-10-01,1015.66
1985-11-01,1012.52
1985-12-01,1001.79
1986-01-01,1001.44
1986-02-01,1000.52
1986-03-01,1007.7
1986-04-01,1018.11
1986-05-01,1015.26
1986-06-01,1013.85
1986-07-01,1017.83
1986-08-01,1015.37
1986-09-01,1015.04
1986-10-01,1010.96
1986-11-01,1011.89
1986-12-01,1001.0
1987-01-01,1003.22
1987-02-01,1005.45
1987-03-01,1008.28
1987-04-01,1012.3
1987-05-01,1016.47
1987-06-01,1013.99
1987-07-01,1015.87
1987-08-01,1016.65
1987-09-01,1015.43
1987-10-01,1012.45
1987-11-01,1009.72
1987-12-01,1009.49
1988-01-01,1005.4
1988-02-01,1004.18
1988-03-01,1011.88
1988-04-01,1013.58
1988-05-01,1013.46
1988-06-01,1014.03
1988-07-01,1017.64
1988-08-01,1015.63
1988-09-01,1016.17
1988-10-01,1011.55
1988-11-01,1009.8
1988-12-01,1008.35
1989-01-01,1012.01
1989-02-01,1015.04
1989-03-01,1013.51
1989-04-01,1015.95
1989-05-01,1017.43
1989-06-01,1016.45
1989-07-01,1018.85
1989-08-01,1015.9
1989-09-01,1013.41
1989-10-01,1014.57
1989-11-01,1014.05
1989-12-01,1005.28
1990-01-01,1007.57
1990-02-01,1017.47
1990-03-01,1010.16
1990-04-01,1015.76
1990-05-01,1014.35
1990-06-01,1015.8
1990-07-01,1016.9
1990-08-01,1015.14
1990-09-01,1013.64
1990-10-01,1014.46
1990-11-01,1019.14
1990-12-01,1011.87
1991-01-01,1007.73
1991-02-01,1002.75
1991-03-01,1014.73
1991-04-01,1014.04
1991-05-01,1014.46
1991-06-01,1016.24
1991-07-01,1016.62
1991-08-01,1014.95
1991-09-01,1011.72
1991-10-01,1013.58
1991-11-01,1008.35
1991-12-01,1007.76
1992-01-01,998.86
1992-02-01,1007.0
1992-03-01,1010.31
1992-04-01,1013.95
1992-05-01,1015.85
1992-06-01,1013.8
1992-07-01,1017.3
1992-08-01,1015.84
1992-09-01,1014.96
1992-10-01,1011.7
1992-11-01,1009.84
1992-12-01,1013.12
1993-01-01,1010.81
1993-02-01,1002.44
1993-03-01,1007.56
1993-04-01,1009.7
1993-05-01,1012.52
1993-06-01,1015.0
1993-07-01,1016.91
1993-08-01,1015.85
1993-09-01,1015.66
1993-10-01,1012.5
1993-11-01,1013.88
1993-12-01,1006.82
1994-01-01,1008.31
1994-02-01,1010.4
1994-03-01,1012.37
1994-04-01,1013.97
1994-05-01,1013.61
1994-06-01,1016.87
1994-07-01,1017.21
1994-08-01,1017.52
1994-09-01,1013.8
1994-10-01,1012.66
1994-11-01,1016.69
1994-12-01,1005.4
1995-01-01,1002.19
1995-02-01,1006.59
1995-03-01,1011.94
1995-04-01,1013.9
1995-05-01,1013.84
1995-06-01,1014.58
1995-07-01,1016.82
1995-08-01,1017.25
1995-09-01,1010.19
1995-10-01,1012.92
1995-11-01,1011.95
1995-12-01,999.68
1996-01-01,1008.3
1996-02-01,1007.99
1996-03-01,1010.94
1996-04-01,1009.61
1996-05-01,1015.82
1996-06-01,1016.67
1996-07-01,1018.22
1996-08-01,1018.09
1996-09-01,1014.62
