date,noi
1988-11-01,2.417
1988-12-01,4.167
1989-01-01,8.678
1989-02-01,3.284
1989-03-01,-1.98
1989-04-01,-0.508
1989-05-01,2.382
1989-06-01,-1.82
1989-07-01,3.336
1989-08-01,0.247
1989-09-01,-0.732
1989-10-01,0.908
1989-11-01,0.928
1989-12-01,0.474
1990-01-01,2.57
1990-02-01,1.408
1990-03-01,0.761
1990-04-01,-1.401
1990-05-01,-1.015
1990-06-01,0.407
1990-07-01,-1.779
1990-08-01,-1.279
1990-09-01,-0.368
1990-10-01,0.942
1990-11-01,3.355
1990-12-01,3.352
1991-01-01,1.973
1991-02-01,-1.423
1991-03-01,-4.147
1991-04-01,1.941
1991-05-01,1.095
1991-06-01,-0.023
1991-07-01,-0.747
1991-08-01,-0.861
1991-09-01,-1.395
1991-10-01,-0.972
1991-11-01,1.875
1991-12-01,-3.825
1992-01-01,-4.153
1992-02-01,-8.402
1992-03-01,-8.342
1992-04-01,-3.277
1992-05-01,-2.12
1992-06-01,-2.053
1992-07-01,-2.161
1992-08-01,0.417
1992-09-01,0.281
1992-10-01,-2.741
1992-11-01,0.898
1992-12-01,-0.86
1993-01-01,-6.047
1993-02-01,-7.893
1993-03-01,-2.469
1993-04-01,-0.714
1993-05-01,-7.225
1993-06-01,-1.215
1993-07-01,-0.212
1993-08-01,-2.359
1993-09-01,-0.408
1993-10-01,-3.037
1993-11-01,-0.252
1993-12-01,0.239
1994-01-01,1.699
1994-02-01,-1.061
1994-03-01,-1.0
1994-04-01,-0.003
1994-05-01,-0.914
1994-06-01,1.0
1994-07-01,-0.782
1994-08-01,-0.926
1994-09-01,-1.407
1994-10-01,-1.6
1994-11-01,1.356
1994-12-01,-2.533
1995-01-01,-11.749
1995-02-01,-2.735
1995-03-01,-4.533
1995-04-01,-0.973
1995-05-01,-1.434
1995-06-01,-0.292
1995-07-01,-1.075
1995-08-01,-1.786
1995-09-01,-0.161
1995-10-01,1.31
1995-11-01,0.83
1995-12-01,-1.4
1996-01-01,1.09
1996-02-01,-3.874
1996-03-01,-1.118
1996-04-01,0.299
1996-05-01,-1.566
1996-06-01,1.471
1996-07-01,0.022
1996-08-01,0.935
1996-09-01,1.728
1996-10-01,2.151
1996-11-01,1.419
1996-12-01,-1.733
1997-01-01,-2.977
1997-02-01,6.571
1997-03-01,2.004
1997-04-01,-0.95
1997-05-01,-4.599
1997-06-01,-2.225
1997-07-01,-0.972
1997-08-01,-3.765
1997-09-01,-4.213
1997-10-01,-1.741
1997-11-01,-8.608
1997-12-01,-2.092
1998-01-01,-8.112
1998-02-01,-10.934
