,precip-accum_mm,temp_C
1967-01-01,27.9,0.7533333333333334
1967-02-01,50.5,1.757142857142857
1967-03-01,86.89999999999999,6.264516129032257
1967-04-01,116.7,11.976666666666667
1967-05-01,65.4,17.31935483870968
1967-06-01,136.4,20.93
1967-07-01,78.7,24.661290322580644
1967-08-01,50.4,25.80322580645161
1967-09-01,233.9,21.136666666666667
1967-10-01,167.1,14.516129032258064
1967-11-01,66.2,8.879999999999999
1967-12-01,32.9,2.8806451612903223
1968-01-01,10.5,2.0
1968-02-01,31.0,0.7620689655172413
1968-03-01,74.5,7.093103448275862
1968-04-01,116.0,11.636666666666667
1968-05-01,184.0,15.719354838709679
1968-06-01,153.0,20.136666666666667
1968-07-01,156.5,23.358064516129033
1968-08-01,174.0,24.91
1968-09-01,62.5,19.966666666666665
1968-10-01,122.0,14.05483870967742
1968-11-01,25.0,10.176666666666668
1968-12-01,149.0,6.896774193548388
1969-01-01,40.0,2.0903225806451613
1969-02-01,84.5,3.1285714285714286
1969-03-01,111.5,5.341935483870968
1969-04-01,79.0,12.156666666666666
1969-05-01,94.5,16.961290322580645
1969-06-01,196.0,19.94
1969-07-01,117.5,22.932258064516127
1969-08-01,104.0,25.12258064516129
1969-09-01,100.0,20.516666666666666
1969-10-01,163.5,14.416129032258064
1969-11-01,80.5,9.520000000000001
1969-12-01,1.5,3.161290322580645
1970-01-01,37.0,0.9096774193548388
1970-02-01,23.0,2.8249999999999997
1970-03-01,33.5,3.161290322580645
1970-04-01,42.0,10.666666666666666
1970-05-01,130.5,17.335483870967742
1970-06-01,157.5,19.03666666666667
1970-07-01,97.0,23.741935483870968
1970-08-01,57.5,25.106451612903225
1970-09-01,67.5,21.66
1970-10-01,80.0,14.7
1970-11-01,150.0,9.176666666666668
1970-12-01,31.0,2.7548387096774194
1971-01-01,32.0,1.7275862068965517
1971-02-01,31.0,2.4962962962962965
1971-03-01,48.5,5.416129032258064
1971-04-01,137.0,11.276666666666667
1971-05-01,68.5,16.04516129032258
1971-06-01,87.5,20.17
1971-07-01,95.0,24.74516129032258
1971-08-01,254.0,25.183870967741935
1971-09-01,213.0,19.85666666666667
1971-10-01,191.5,13.667741935483871
1971-11-01,17.5,8.416666666666666
1971-12-01,45.0,4.093548387096774
1972-01-01,99.5,3.6580645161290324
1972-02-01,106.5,3.231034482758621
1972-03-01,27.0,6.919354838709677
1972-04-01,123.5,11.793333333333333
1972-05-01,124.0,16.76774193548387
1972-06-01,100.5,19.983333333333334
1972-07-01,168.5,24.296774193548387
1972-08-01,99.5,25.080645161290324
1972-09-01,160.0,21.16
1972-10-01,29.5,15.725806451612904
1972-11-01,46.0,9.016666666666667
1972-12-01,126.5,4.47741935483871
1973-01-01,67.5,3.1225806451612903
1973-02-01,33.5,4.207142857142857
1973-03-01,6.5,5.4366666666666665
1973-04-01,124.5,13.406666666666666
1973-05-01,89.0,15.861290322580645
1973-06-01,125.5,18.616666666666667
1973-07-01,55.5,24.38064516129032
1973-08-01,45.0,26.86774193548387
1973-09-01,104.0,21.453333333333333
1973-10-01,185.0,14.832258064516129
1973-11-01,96.5,8.26
1973-12-01,0.0,1.5129032258064516
1974-01-01,29.0,0.5935483870967743
1974-02-01,52.0,2.375
1974-03-01,56.0,4.909677419354838
1974-04-01,99.0,12.6
1974-05-01,67.0,17.038709677419355
1974-06-01,190.0,20.246666666666666
1974-07-01,211.5,22.05483870967742
1974-08-01,54.5,25.748387096774195
1974-09-01,217.0,21.226666666666667
1974-10-01,103.0,15.770967741935483
1974-11-01,26.5,8.466666666666667
1974-12-01,44.5,2.8483870967741933
1975-01-01,49.5,1.2645161290322582
1975-02-01,60.0,1.957142857142857
1975-03-01,65.5,5.438709677419355
1975-04-01,105.0,12.446666666666665
1975-05-01,78.5,16.532258064516128
1975-06-01,102.5,20.243333333333332
1975-07-01,200.5,24.29032258064516
1975-08-01,25.0,25.116129032258065
1975-09-01,142.0,22.65666666666667
1975-10-01,179.0,15.229032258064517
1975-11-01,149.0,10.703333333333335
1975-12-01,46.0,2.9419354838709677
1976-01-01,0.5,1.6064516129032258
1976-02-01,81.5,4.379310344827586
1976-03-01,61.5,6.551612903225807
1976-04-01,110.0,11.356666666666666
1976-05-01,293.0,16.14193548387097
1976-06-01,155.5,19.736666666666668
1976-07-01,144.5,22.006451612903227
1976-08-01,149.5,23.12258064516129
1976-09-01,264.5,19.990000000000002
1976-10-01,177.5,15.345161290322581
1976-11-01,64.5,8.533333333333333
1976-12-01,26.5,3.858064516129032
1977-01-01,19.0,0.2935483870967742
1977-02-01,18.5,2.0535714285714284
1977-03-01,138.0,6.783870967741936
1977-04-01,102.0,12.716666666666667
1977-05-01,112.5,16.493548387096773
1977-06-01,151.5,19.64
1977-07-01,121.5,23.61935483870968
1977-08-01,240.5,23.432258064516127
1977-09-01,254.5,22.470000000000002
1977-10-01,44.5,16.316129032258065
1977-11-01,70.5,12.373333333333333
1977-12-01,22.0,5.174193548387097
1978-01-01,26.5,2.0258064516129033
1978-02-01,33.5,1.6821428571428572
1978-03-01,100.5,6.067741935483871
1978-04-01,122.0,11.58
1978-05-01,78.0,16.98709677419355
1978-06-01,55.0,22.116666666666667
1978-07-01,29.5,25.993548387096773
1978-08-01,11.5,26.700000000000003
1978-09-01,104.0,20.396666666666665
1978-10-01,110.5,14.564516129032258
1978-11-01,42.5,9.866666666666667
1978-12-01,32.0,4.270967741935484
1979-01-01,53.5,2.6774193548387095
1979-02-01,77.5,6.075
1979-03-01,53.5,7.303225806451613
1979-04-01,78.0,11.986666666666668
1979-05-01,152.0,16.67096774193548
1979-06-01,55.5,22.7
1979-07-01,120.5,23.387096774193548
1979-08-01,68.5,25.529032258064515
1979-09-01,138.0,22.233333333333334
1979-10-01,255.0,17.541935483870965
1979-11-01,163.0,12.139999999999999
1979-12-01,36.0,6.254838709677419
1980-01-01,69.0,2.5580645161290323
1980-02-01,15.0,2.110344827586207
1980-03-01,126.0,6.33225806451613
1980-04-01,94.0,11.873333333333333
1980-05-01,168.0,17.432258064516127
1980-06-01,157.5,22.14
1980-07-01,177.0,22.203225806451613
1980-08-01,103.0,21.741935483870968
1980-09-01,113.0,21.226666666666667
1980-10-01,138.0,15.548387096774194
1980-11-01,117.0,9.736666666666668
1980-12-01,40.5,4.27741935483871
1981-01-01,1.5,0.970967741935484
1981-02-01,31.0,2.525
1981-03-01,112.0,6.583870967741936
1981-04-01,135.0,11.870000000000001
1981-05-01,124.0,15.367741935483872
1981-06-01,118.5,18.026666666666664
1981-07-01,41.0,24.432258064516127
1981-08-01,112.5,24.219354838709677
1981-09-01,139.0,19.583333333333332
1981-10-01,334.0,15.119354838709677
1981-11-01,64.0,7.33
1981-12-01,3.0,3.8
1982-01-01,29.0,2.990322580645161
1982-02-01,23.0,2.9250000000000003
1982-03-01,62.0,7.377419354838709
1982-04-01,102.0,11.816666666666666
1982-05-01,83.5,18.551612903225806
1982-06-01,154.5,19.096666666666668
1982-07-01,162.5,21.019354838709678
1982-08-01,143.5,24.903225806451612
1982-09-01,367.5,20.243333333333332
1982-10-01,162.0,15.209677419354838
1982-11-01,137.0,11.32
1982-12-01,17.5,5.561290322580645
1983-01-01,16.0,2.3483870967741933
1983-02-01,53.0,3.085714285714286
1983-03-01,104.0,6.238709677419355
1983-04-01,121.0,13.44
1983-05-01,73.5,17.074193548387097
1983-06-01,173.5,18.19
1983-07-01,218.5,21.67096774193548
1983-08-01,129.0,24.958064516129035
1983-09-01,241.5,20.790000000000003
1983-10-01,110.0,14.829032258064515
1983-11-01,58.5,9.17
1983-12-01,3.5,3.009677419354839
1984-01-01,42.0,-0.16451612903225807
1984-02-01,58.0,-0.09655172413793103
1984-03-01,41.0,3.138709677419355
1984-04-01,45.5,9.093333333333334
1984-05-01,49.5,14.883870967741935
1984-06-01,180.5,19.87666666666667
1984-07-01,76.5,23.90967741935484
1984-08-01,14.5,26.193548387096776
1984-09-01,45.5,20.7
1984-10-01,74.0,14.838709677419354
1984-11-01,38.0,8.34
1984-12-01,54.0,3.958064516129032
1985-01-01,5.0,0.2
1985-02-01,186.5,4.296428571428572
1985-03-01,136.0,5.719354838709678
1985-04-01,151.5,11.753333333333334
1985-05-01,74.5,17.1
1985-06-01,301.5,18.506666666666668
1985-07-01,75.0,24.44193548387097
1985-08-01,140.5,26.09032258064516
1985-09-01,61.0,21.196666666666665
1985-10-01,59.0,15.0
1985-11-01,54.0,9.616666666666667
1985-12-01,25.5,3.6548387096774193
1986-01-01,12.5,0.6387096774193549
1986-02-01,29.0,1.1500000000000001
1986-03-01,184.0,5.270967741935484
1986-04-01,88.0,11.57
1986-05-01,144.5,15.893548387096773
1986-06-01,108.5,19.03666666666667
1986-07-01,72.0,22.051612903225806
1986-08-01,239.5,24.95483870967742
1986-09-01,117.0,21.926666666666666
1986-10-01,71.5,14.067741935483872
1986-11-01,38.5,8.816666666666666
1986-12-01,76.5,4.354838709677419
1987-01-01,43.5,2.238709677419355
1987-02-01,47.0,3.814285714285714
1987-03-01,71.5,7.080645161290323
1987-04-01,36.0,11.896666666666667
1987-05-01,78.0,17.15806451612903
1987-06-01,87.5,19.996666666666666
1987-07-01,113.0,25.003225806451614
1987-08-01,129.0,25.135483870967743
